200	120	81
100	135	33
50	29	85
68	107	84
75	49	23
109	90	48
161	2	16
97	129	43
25	186	4
113	97	97
70	12	53
117	142	90
189	28	43
140	191	40
167	48	30
0	154	68
61	139	77
18	163	75
43	169	0
160	135	34
150	89	17
57	109	93
62	80	62
162	62	88
142	79	76
7	30	68
116	6	88
0	1	47
78	84	16
112	140	97
109	74	53
121	77	70
106	89	75
57	119	64
26	87	84
79	171	75
192	151	45
9	64	22
123	150	10
87	123	33
165	88	13
144	78	82
54	38	68
188	44	86
165	170	62
24	94	87
0	120	60
101	53	62
67	147	20
109	99	70
22	16	59
5	91	73
105	154	48
108	5	71
64	37	89
114	140	36
147	140	61
69	120	52
101	39	10
158	36	79
79	105	73
5	24	43
68	112	25
37	57	81
188	28	7
167	41	45
197	82	43
54	130	50
19	153	65
27	160	81
11	140	77
182	50	22
63	83	69
33	59	46
119	57	67
58	176	16
174	61	46
45	154	0
94	120	95
12	5	42
80	170	96
80	10	30
90	80	31
130	163	92
54	7	79
88	125	97
83	85	99
139	155	11
82	43	93
23	40	83
118	165	56
59	35	17
127	58	39
121	175	77
80	101	3
189	161	53
18	61	19
68	127	3
37	112	68
40	140	15
189	87	64
145	18	1
148	27	13
127	161	31
131	1	98
142	131	62
121	150	25
33	113	62
142	44	92
119	167	64
54	109	65
53	94	43
165	101	8
159	68	96
79	119	35
128	148	77
195	39	77
87	8	17
114	124	94
126	122	39
96	113	28
165	4	83
1	117	76
107	70	28
83	81	1
43	109	50
52	110	19
104	132	57
57	150	36
86	183	0
108	20	87
102	142	20
81	133	25
59	87	10
21	75	65
79	14	27
56	12	25
195	90	56
113	90	24
93	139	47
93	147	26
79	145	36
148	127	27
132	128	37
22	115	28
50	99	78
178	146	75
97	135	66
138	160	6
194	87	60
86	21	45
26	60	44
28	35	96
53	100	64
168	64	46
77	60	35
17	80	30
175	47	25
164	60	22
199	80	45
111	92	45
58	90	40
59	164	47
158	120	30
84	90	30
64	61	60
125	84	40
148	110	50
172	100	30
103	60	40
191	41	52
128	98	40
75	87	47
38	100	50
80	40	30
55	60	50
10	80	48
95	60	51
90	100	50
186	60	92
2	40	50
136	20	66
4	20	10
