2022-06-01;24
2022-06-02;25
2022-06-03;27
2022-06-04;27
2022-06-05;27
2022-06-06;22
2022-06-07;25
2022-06-08;25
2022-06-09;21
2022-06-10;21
2022-06-11;19
2022-06-12;19
2022-06-13;15
2022-06-14;21
2022-06-15;23
2022-06-16;23
2022-06-17;16
2022-06-18;21
2022-06-19;22
2022-06-20;22
2022-06-21;22
2022-06-22;28
2022-06-23;31
2022-06-24;33
2022-06-25;33
2022-06-26;23
2022-06-27;23
2022-06-28;19
2022-06-29;24
2022-06-30;25
2022-07-01;27
2022-07-02;27
2022-07-03;21
2022-07-04;21
2022-07-05;25
2022-07-06;19
2022-07-07;21
2022-07-08;24
2022-07-09;19
2022-07-10;28
2022-07-11;27
2022-07-12;24
2022-07-13;22
2022-07-14;17
2022-07-15;18
2022-07-16;23
2022-07-17;23
2022-07-18;19
2022-07-19;21
2022-07-20;25
2022-07-21;28
2022-07-22;27
2022-07-23;23
2022-07-24;26
2022-07-25;29
2022-07-26;26
2022-07-27;27
2022-07-28;24
2022-07-29;26
2022-07-30;25
2022-07-31;24
2022-08-01;22
2022-08-02;19
2022-08-03;21
2022-08-04;26
2022-08-05;19
2022-08-06;21
2022-08-07;23
2022-08-08;27
2022-08-09;20
2022-08-10;18
2022-08-11;17
2022-08-12;19
2022-08-13;26
2022-08-14;21
2022-08-15;19
2022-08-16;19
2022-08-17;21
2022-08-18;21
2022-08-19;24
2022-08-20;26
2022-08-21;23
2022-08-22;23
2022-08-23;24
2022-08-24;26
2022-08-25;28
2022-08-26;32
2022-08-27;26
2022-08-28;32
2022-08-29;23
2022-08-30;22
2022-08-31;25
