w01D;1415007;1397195;1499070;1481105
w02D;1711390;1641773;1522030;1618733
w03C;1165105;1278732;1299953;1191621
w04D;949065;1026050;688027;723233
w05A;2436107;2228622;1831600;1960624
w06D;1846928;1851433;2125113;2028635
w07B;3841577;3848394;3595975;3123039
w08A;679557;655500;1012012;1067022
w09C;1660998;1630345;1130119;1080238
w10C;1157622;1182345;830785;833779
w11D;1987047;1996208;2053892;1697247
w12C;3997724;3690756;4339393;4639643
w13A;996113;964279;1012487;1128940
w14A;1143634;1033836;909534;856349
w15A;2549276;2584751;2033079;2066918
w16C;1367212;1361389;1572320;1836258
w17A;2567464;2441857;1524132;1496810
w18D;1334060;1395231;578655;677663
w19C;2976209;3199665;1666477;1759240
w20C;1443351;1565539;1355276;1423414
w21A;2486640;2265936;297424;274759
w22B;685438;749124;2697677;2821550
w23B;2166753;2338698;1681433;1592443
w24C;643177;684187;796213;867904
w25B;450192;434755;1656446;1691000
w26C;1037774;1113789;877464;990837
w27C;2351213;2358482;1098384;1121488
w28D;2613354;2837241;431144;434113
w29A;1859691;1844250;1460134;1585258
w30C;2478386;2562144;30035;29396
w31C;1938122;1816647;1602356;1875221
w32D;992523;1028501;1995446;1860524
w33B;2966291;2889963;462453;486354
w34C;76648;81385;1374708;1379567
w35C;2574432;2409710;987486;999043
w36B;1778590;1874844;111191;117846
w37A;1506541;1414887;1216612;1166775
w38B;1598886;1687917;449788;427615
w39D;548989;514636;2770344;3187897
w40A;1175198;1095440;2657174;2491947
w41D;2115336;2202769;15339;14652
w42B;2346640;2197559;373470;353365
w43D;2548438;2577213;37986;37766
w44C;835495;837746;1106177;917781
w45B;1187448;1070426;1504608;1756990
w46C;140026;146354;2759991;2742120
w47B;1198765;1304945;2786493;2602643
w48C;2619776;2749623;2888215;2800174
w49C;248398;268511;3110853;2986411
w50B;2494207;2625207;1796293;1853602
